mid Dec.,10.1,15.2,6.3,7,56
late May,23.4,27.2,20.1,13.5,48
early Feb.,7.4,9.7,4.7,6.2,60
mid June,24.4,28.9,20.1,23,76
late Oct.,18.3,21.2,16.5,15.2,72
mid May,17.6,19.6,16,12.4,62
late Nov.,11.8,14,8.4,8.7,63
mid Nov.,11.7,16.3,8,5.7,42
late Oct.,18.3,22.5,13.4,12.4,60
mid Feb.,11.4,17.6,5.7,8.5,58
mid Sep.,23.9,26.9,20.3,14.5,49
early Jan.,7,9.1,5.1,3.9,39
early Jan.,5.5,9.7,1.9,2.4,28
early May,19.3,22.4,15.7,17.3,78
late Aug.,30.1,34.8,26.8,26.3,63
late Mar.,8.1,11.6,4.9,2.8,27
early June,22.1,26.4,18.7,15.1,58
late June,26.1,29.2,24.3,24.3,72
early June,19.2,21.9,15.8,15.9,72
late June,22.8,24,21.5,24.9,90
mid Apr.,13.4,14.9,12.3,13.5,88
mid July,27.8,31.4,24.8,24.5,66
late Mar.,14.4,20.4,10.3,9.3,58
mid Dec.,6.1,10.4,2.8,3.1,34
mid Feb.,5.7,9.1,1.4,5.4,60
mid Feb.,3.3,6.6,0.3,4.4,57
late Aug.,30.2,34.4,26.4,26.5,62
late June,19.5,23.6,15.8,13,59
late Mar.,10.7,13.6,7.3,6.6,51
late Dec.,8.2,13.6,4.1,4.4,41
early June,20.2,24.2,17.8,15.5,66
late Sep.,23.3,25.8,21,17.6,62
late Mar.,8.1,13.4,3.5,5.5,52
early Apr.,13.3,16,10.3,11.1,72
mid Oct.,18.9,20,17.9,14.2,65
early Dec.,9.8,13,6.7,7.4,61
mid Sep.,23.2,26.4,20.3,14.9,53
late July,27.2,30.9,24,27.3,76
late May,15.6,18.3,12.8,11.7,66
early July,27.1,30.6,24.2,27.3,76
early May,22.8,27.2,18.4,17.3,63
late Dec.,9.4,12,7.4,5.3,45
mid June,23.2,26,21.5,18.3,65
mid Nov.,14.1,17.9,10,6.8,43
early Dec.,12.9,16.7,9.4,8.9,60
early Jan.,5.7,9.1,3.1,2.9,33
late Mar.,9.1,14.5,2.6,5.8,50
late Jan.,10.3,14.8,6.7,10.1,81
